State,Region,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2,2019:Q3,2019:Q4,2020:Q1,2020:Q2,Disp_Inc_2015,Disp_Inc_2016,Disp_Inc_2017,Disp_Inc_2018,Disp_Inc_2019,Disp_Inc_2020,mean disp income,St Dev disposable income,% annual change (16/17),% annual change (17/18),% annual change (18/19),% annual change (19/20),% annual change,Gas_Price_2016,Gas_Price_2017,Gas_Price_2018,Gas_Price_2019,Gas_Price_2020,mean gas price,St Dev disposable income,% annual change (16/17),% annual change (17/18),% annual change (18/19),% annual change (19/20)
Iowa,Midwest,45908,46050,46539,46677,46350,46406,46729,46679,47369,47561,47534,48180,49230,49875,50240,51332,51494,51347,52289,52310,52978,58612,46294,46541,47661,50169,51860,53005,49847,2731,2.41%,5.26%,3.37%,2.21%,13.89%,2.14,2.41,2.67,2.54,2.09,2.37,0.25,12.62%,10.79%,-4.87%,-17.72%
Kansas,Midwest,47281,47371,47436,47312,46859,47255,47604,47848,48322,48623,48922,49595,50381,51032,51530,52080,52916,53005,53683,54077,54485,57636,47350,47392,48866,51256,53420,53257,50838,2667,3.11%,4.89%,4.22%,-0.31%,12.38%,2.14,2.41,2.67,2.54,2.09,2.37,0.25,12.62%,10.79%,-4.87%,-17.72%
Kentucky,Midwest,38688,39111,39340,39636,39327,39577,40000,40084,40469,40684,41002,41464,41752,42230,42512,42851,43375,43566,43897,44230,44644,48585,39194,39747,40905,42336,43767,44284,42208,1905,2.91%,3.50%,3.38%,1.18%,11.41%,2.14,2.41,2.67,2.54,2.09,2.37,0.25,12.62%,10.79%,-4.87%,-17.72%
Louisiana,GulfCoast,42790,42765,42954,43095,42051,42335,42536,43263,43339,43629,44080,44671,45305,46126,46395,46980,47084,47344,47414,47975,47949,51789,42901,42546,43930,46202,47454,47376,45502,2181,3.25%,5.17%,2.71%,-0.16%,11.35%,2.14,2.41,2.67,2.54,2.09,2.37,0.25,12.62%,10.79%,-4.87%,-17.72%
Maine,EastCoast,42765,43430,43865,44317,44379,44803,44867,45248,45866,46196,46835,47311,48123,48670,49134,49199,50194,50417,50748,51152,51679,56268,43594,44824,46552,48782,50628,51275,48412,2719,3.86%,4.79%,3.78%,1.28%,14.39%,2.02,2.3,2.53,2.35,1.92,2.22,0.25,13.86%,10.00%,-7.11%,-18.30%
Maryland,EastCoast,56500,56839,57212,57603,58197,58756,59221,59815,59897,60400,60942,61794,61865,62477,63129,63334,64138,64501,64679,65206,65969,69341,57039,58997,60758,62701,64631,64272,62272,2386,2.98%,3.20%,3.08%,-0.56%,8.94%,2.26,2.53,2.83,2.65,2.23,2.5,0.26,11.95%,11.86%,-6.36%,-15.85%
Massachusetts,EastCoast,62643,63433,63834,64539,64713,65400,66265,66453,67203,68003,68936,69655,70906,71500,72194,72638,73978,74089,74164,74456,75332,86779,63612,65708,68449,71810,74172,77003,71428,4482,4.17%,4.91%,3.29%,3.82%,17.19%,2.31,2.64,2.89,2.73,2.35,2.58,0.25,14.29%,9.47%,-5.54%,-13.92%
Michigan,Midwest,42844,43281,43669,44052,44229,44500,44674,45111,45507,45711,45987,46586,47288,47542,48002,48271,48758,49062,49340,49724,49795,55484,43462,44629,45948,47776,49221,50008,47516,2235,2.96%,3.98%,3.02%,1.60%,12.05%,2.22,2.51,2.82,2.67,2.23,2.49,0.27,13.06%,12.35%,-5.32%,-16.48%
Minnesota,RockyMontain,52007,52108,52474,52757,52588,52716,53335,53648,54629,54713,54821,55663,56464,57169,57632,58225,58440,58524,59039,59310,59740,64364,52337,53072,54957,57373,58828,58949,56636,2560,3.55%,4.40%,2.54%,0.21%,11.07%,2.14,2.41,2.67,2.54,2.09,2.37,0.25,12.62%,10.79%,-4.87%,-17.72%
Mississippi,GulfCoast,34885,35178,35358,35373,35548,35575,35636,35901,36307,36313,36616,36937,37291,37745,37961,38374,38557,38647,39091,39335,39822,43352,35199,35665,36543,37843,38908,39508,37693,1599,2.46%,3.56%,2.81%,1.54%,10.78%,2.09,2.39,2.65,2.5,2.05,2.34,0.26,14.35%,10.88%,-5.66%,-18.00%
